ID_покупателя,Сегмент_товаров,Сегмент_объемов,Сегмент_RFM,Сегмент_ABC,Сегмент_процент_выкупа,Купит_в_течении_30_дней,Потратит_в_течении_30_дней,Страна
13680.0,Бюджетный,Розничный,Лучшие,A,Низкий,0.998293135963171,289.0487515594657,united kingdom
12584.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9980424507958512,222.83684209369056,italy
17567.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9979425378189317,459.5851027757422,united kingdom
13394.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.997937504845651,438.1573385822879,united kingdom
14640.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9979242236328558,263.66916808159596,united kingdom
14299.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9979220738878,457.47624997252683,united kingdom
15157.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.997921240523386,403.32908823235533,united kingdom
16076.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9979030291050374,408.86092965172054,united kingdom
15373.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978998540943922,248.55892025392274,united kingdom
13883.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978989094653872,332.9425747276882,united kingdom
16057.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.997880419511374,277.4352405704023,united kingdom
16570.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978724306376922,455.86228762655645,united kingdom
13266.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978721000739241,633.4527513121318,united kingdom
17644.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978719059216227,501.31409726342287,united kingdom
12560.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.997871649956543,287.0290195337865,germany
15632.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978710881041835,525.3143547908796,united kingdom
15351.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978708694188051,292.7256960279472,united kingdom
16474.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978696851453859,339.92624666625386,united kingdom
13924.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978693869301224,440.9826614330178,united kingdom
17422.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978670756534133,457.2569998702218,united kingdom
14701.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978659316538855,343.8701989680237,united kingdom
14546.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978627746546112,405.436209498116,united kingdom
15021.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978614798224821,357.106039613947,united kingdom
13115.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978601123553319,439.21914083903863,united kingdom
15755.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978600584176832,334.6242156834609,united kingdom
17451.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978596984194508,383.35482808240357,united kingdom
14766.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978574516315548,324.23721881458465,united kingdom
13755.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978563257211653,373.10650261012563,united kingdom
13184.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978556275599021,365.29396108985566,united kingdom
14217.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978546813581116,255.1218515445937,united kingdom
17813.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978544883168227,326.6428258248708,united kingdom
16145.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978530594574888,678.8440261332703,united kingdom
16201.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978507337630044,403.0061967371502,united kingdom
12782.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978506716542065,389.85994229430116,portugal
13971.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978497244880614,499.42605358693834,united kingdom
14243.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.997849459987706,320.57817284734085,united kingdom
16782.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978477278778272,285.02748311147485,united kingdom
13588.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978475738110121,565.3658033603695,united kingdom
17071.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978473764690398,317.5366016314401,united kingdom
12598.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978469100369064,468.57278075941946,france
16678.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978467279977603,544.215827991666,united kingdom
13021.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978463322071742,326.3580366626008,united kingdom
14032.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978462972964116,501.09156677008326,united kingdom
14626.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978456874489341,436.07770315191385,united kingdom
17346.0,Бюджетный,Розничный,Лучшие,A,Стандартный,0.9978452790657811,461.74774306276686,united kingdom
17744.0,Бюджетный,Мелкий_опт,Лучшие,A,Стандартный,0.9978444082042078,529.9493696778022,united kingdom
